type,layer,length,x1,y1,x2,y2
LINE,S-RBAR,420.0,68321.130201694,27520.39394708468,68321.130201694,27100.39394708468
LINE,S-RBAR,420.0,68329.130201694,27520.39394708468,68329.130201694,27100.39394708468
LINE,S-RBAR,8.0,68321.130201694,27520.39394708468,68329.130201694,27520.39394708468
LINE,S-RBAR,420.0,68125.63408887885,27520.39394708468,68125.63408887885,27100.39394708468
LINE,S-RBAR,420.0,68133.63408887884,27520.39394708468,68133.63408887884,27100.39394708468
LINE,S-RBAR,8.0,68125.63408887885,27520.39394708468,68133.63408887884,27520.39394708468
LINE,S-RBAR,420.0,67930.1379760637,27520.39394708468,67930.1379760637,27100.39394708468
LINE,S-RBAR,420.0,67938.1379760637,27520.39394708468,67938.1379760637,27100.39394708468
LINE,S-RBAR,8.0,67930.1379760637,27520.39394708468,67938.1379760637,27520.39394708468
LINE,S-RBAR,420.0,67734.64186324854,27520.39394708468,67734.64186324854,27100.39394708468
LINE,S-RBAR,420.0,67742.64186324854,27520.39394708468,67742.64186324854,27100.39394708468
LINE,S-RBAR,8.0,67734.64186324854,27520.39394708468,67742.64186324854,27520.39394708468
LINE,S-RBAR,420.0,67539.1457504334,27520.39394708468,67539.1457504334,27100.39394708468
LINE,S-RBAR,420.0,67547.1457504334,27520.39394708468,67547.1457504334,27100.39394708468
LINE,S-RBAR,8.0,67539.1457504334,27520.39394708468,67547.1457504334,27520.39394708468
LINE,S-RBAR,420.0,67343.64963761825,27520.39394708468,67343.64963761825,27100.39394708468
LINE,S-RBAR,420.0,67351.64963761825,27520.39394708468,67351.64963761825,27100.39394708468
LINE,S-RBAR,8.0,67343.64963761825,27520.39394708468,67351.64963761825,27520.39394708468
LINE,S-RBAR,420.0,67148.1535248031,27520.39394708468,67148.1535248031,27100.39394708468
LINE,S-RBAR,420.0,67156.1535248031,27520.39394708468,67156.1535248031,27100.39394708468
LINE,S-RBAR,8.0,67148.1535248031,27520.39394708468,67156.1535248031,27520.39394708468
LINE,S-RBAR,420.0,66952.65741198795,27520.39394708468,66952.65741198795,27100.39394708468
LINE,S-RBAR,420.0,66960.65741198795,27520.39394708468,66960.65741198795,27100.39394708468
LINE,S-RBAR,8.0,66952.65741198795,27520.39394708468,66960.65741198795,27520.39394708468
LINE,S-RBAR,420.0,66757.16129917279,27520.39394708468,66757.16129917279,27100.39394708468
