family_name,block_name,copies,avg_spacing,length,width,height,orientation,bbox,center,instance_ids
1871424790,Rebar Bar - Part 1871424790-431004-3D Ortho,64,194.35,522.87,228.0,137.28,Horizontal,"[91894.027, 6801.228, 97855.876, 8959.396]","[94874.951, 7880.312]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]"
878712912,Rebar Bar - Part 878712912-431004-3D Ortho,20,678.31,15.21,16.89,7.61,Horizontal,"[92391.173, 7062.383, 97384.868, 8785.419]","[94888.02, 7923.901]","[48, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126]"
3681399347,Rebar Bar - Part 3681399347-431004-3D Ortho,19,331.83,1513.69,16.0,741.66,Vertical,"[92391.173, 7069.578, 97384.868, 9527.078]","[94888.02, 8298.328]","[47, 89, 91, 93, 95, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125]"
3660531219,Rebar Bar - Part 3660531219-431004-3D Ortho,5,396.51,1524.52,16.0,748.26,Vertical,"[94330.705, 7580.569, 95359.894, 9030.692]","[94845.299, 8305.63]","[41, 43, 45, 46, 49]"
3575411732,Rebar Bar - Part 3575411732-431004-3D Ortho,3,,34.07,19.05,12.62,Horizontal,"[94762.231, 7880.723, 94884.481, 7950.936]","[94823.356, 7915.829]","[29, 34, 36]"
360578841,Rebar Bar - Part 360578841-431004-3D Ortho,3,,230.06,2.67,183.54,Vertical,"[94838.318, 7660.031, 94938.887, 7930.415]","[94888.603, 7795.223]","[32, 33, 39]"
1070054846,Rebar Bar - Part 1070054846-431004-3D Ortho,2,,63.77,44.43,15.25,Horizontal,"[94773.792, 7869.964, 94918.79, 7950.936]","[94846.291, 7910.45]","[30, 37]"
2227165887,Rebar Bar - Part 2227165887-431004-3D Ortho,2,,45.27,21.09,26.39,Vertical,"[94818.222, 7843.573, 94938.887, 7939.565]","[94878.554, 7891.569]","[31, 38]"
3635738315,Rebar Bar - Part 3635738315-431004-3D Ortho,2,,1667.66,16.0,862.31,Vertical,"[94444.998, 7659.669, 94853.284, 8680.08]","[94649.141, 8169.874]","[42, 44]"
4101040190,Rebar Bar - Part 4101040190-431004-3D Ortho,2,,233.28,123.28,87.16,Horizontal,"[94783.485, 7856.028, 94951.619, 7958.446]","[94867.552, 7907.237]","[50, 51]"
766981352,Rebar Bar - Part 766981352-431004-3D Ortho,2,,98.4,34.4,45.97,Vertical,"[94831.443, 7791.318, 94939.461, 7938.196]","[94885.452, 7864.757]","[35, 40]"
2352736704,Rebar Bar - Part 2352736704-431004-3D Ortho,1,,169.2,61.0,76.54,Vertical,"[94858.448, 7844.323, 94919.451, 7920.861]","[94888.95, 7882.592]",[28]
650701189,Rebar Bar - Part 650701189-431004-3D Ortho,1,,1760.81,16.0,865.22,Vertical,"[94330.705, 7587.831, 94346.705, 8453.05]","[94338.705, 8020.44]",[97]
