family_id,insert_id,block_name,base_part_id,variant_name,length,width,height,rotation,insert_x,insert_y,bbox,geometry_signature
F24,1,Rebar Bar - Part 1871424790-431004-3D Ortho,1871424790,431004-3D Ortho,557.98,226.09,159.32,0.0,164685.4054968528,0.0,"[92004.51576318438, 7912.715811975333, 92230.60285827935, 8072.032509796592]","[558.0, 226.1, 159.3, 0.0]"
F1,2,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,164685.4054968528,0.0,"[92171.55143548705, 7869.966275703417, 92397.30308912342, 8029.28297352468]","[557.6, 225.8, 159.3, 0.0]"
F1,3,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,164852.4411691555,-42.74953627193127,"[92338.58710778967, 7827.216739431495, 92564.33876142604, 7986.533437252758]","[557.6, 225.8, 159.3, 0.0]"
F1,4,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,165019.4768414582,-85.49907254384955,"[92505.62278009238, 7784.4672031595765, 92731.37443372875, 7943.7839009808395]","[557.6, 225.8, 159.3, 0.0]"
F1,5,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,165186.5125137609,-128.2486088157635,"[92672.65845239509, 7741.717666887662, 92898.41010603146, 7901.034364708925]","[557.6, 225.8, 159.3, 0.0]"
F1,6,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,165353.5481860635,-170.9981450876818,"[92839.69412469768, 7698.968130615744, 93065.44577833405, 7858.284828437007]","[557.6, 225.8, 159.3, 0.0]"
F1,7,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,165520.5838583662,-213.7476813596001,"[93006.72979700039, 7656.218594343825, 93232.48145063675, 7815.535292165088]","[557.6, 225.8, 159.3, 0.0]"
F1,8,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,165687.6195306689,-256.4972176315183,"[93173.76546930306, 7613.469058071907, 93399.51712293943, 7772.78575589317]","[557.6, 225.8, 159.3, 0.0]"
F1,9,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,165854.6552029716,-299.2467539034322,"[93340.80114160577, 7570.719521799993, 93566.55279524214, 7730.036219621256]","[557.6, 225.8, 159.3, 0.0]"
F1,10,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,166021.6908752742,-341.9962901753462,"[93507.83681390836, 7527.96998552808, 93733.58846754473, 7687.286683349343]","[557.6, 225.8, 159.3, 0.0]"
F1,11,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,166188.7265475769,-384.7458264472645,"[93674.87248621107, 7485.220449256161, 93900.62413984744, 7644.537147077424]","[557.6, 225.8, 159.3, 0.0]"
F25,12,Rebar Bar - Part 1871424790-V2-3D Ortho,1871424790,V2-3D Ortho,558.2,225.75,159.68,0.0,164685.4054968528,0.0,"[93841.90815851379, 7442.470912984249, 94067.65981215017, 7602.146914469447]","[558.2, 225.8, 159.7, 0.0]"
