family_name,block_name,copies,avg_spacing,length,width,height,orientation,bbox,center,instance_ids
1871424790,Rebar Bar - Part 1871424790-V1-3D Ortho,23,195.93,557.57,225.75,159.32,Horizontal,"[92171.551, 6801.228, 96573.195, 8029.283]","[94372.373, 7415.256]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27]"
3681399347,Rebar Bar - Part 3681399347-431004-3D Ortho,19,331.83,1513.69,16.0,741.66,Vertical,"[92391.173, 7069.578, 97384.868, 9527.078]","[94888.02, 8298.328]","[47, 89, 91, 93, 95, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125]"
878712912,Rebar Bar - Part 878712912-V49-3D Ortho,9,741.73,16.04,16.95,8.04,Horizontal,"[93403.415, 7762.743, 97384.868, 8785.419]","[95394.141, 8274.081]","[108, 110, 114, 116, 118, 120, 122, 124, 126]"
1871424790,Rebar Bar - Part 1871424790-V20-3D Ortho,8,492.63,462.99,194.24,133.56,Horizontal,"[93819.815, 7842.6, 97354.769, 8831.147]","[95587.292, 8336.874]","[55, 57, 59, 65, 67, 70, 72, 75]"
878712912,Rebar Bar - Part 878712912-431004-3D Ortho,8,682.05,14.39,16.82,7.2,Horizontal,"[92391.173, 7062.383, 96372.499, 8084.217]","[94381.836, 7573.3]","[48, 90, 94, 96, 98, 100, 104, 106]"
1871424790,Rebar Bar - Part 1871424790-V19-3D Ortho,6,,424.12,194.24,133.56,Horizontal,"[93652.78, 7799.85, 97521.805, 8873.897]","[95587.292, 8336.874]","[54, 58, 64, 66, 71, 76]"
1871424790,Rebar Bar - Part 1871424790-V17-3D Ortho,4,,424.19,194.24,133.56,Horizontal,"[93318.708, 7928.099, 97020.698, 8959.396]","[95169.703, 8443.748]","[52, 56, 68, 73]"
1871424790,Rebar Bar - Part 1871424790-V37-3D Ortho,4,368.6,682.48,332.41,90.32,Horizontal,"[91894.027, 8139.39, 93135.708, 8858.992]","[92514.867, 8499.191]","[79, 80, 87, 88]"
3660531219,Rebar Bar - Part 3660531219-431004-3D Ortho,4,396.51,1528.21,16.0,748.92,Vertical,"[94577.492, 7751.364, 95359.894, 9030.692]","[94968.693, 8391.028]","[41, 43, 45, 46]"
1871424790,Rebar Bar - Part 1871424790-V41-3D Ortho,2,,649.93,332.41,90.32,Horizontal,"[92197.118, 8349.151, 92630.557, 8509.39]","[92413.837, 8429.27]","[84, 85]"
