
=== PC-GF-01 ===
mark    dia  qty   len_mm  found   status
A      T8      6      900      0    SHORT
A1     T8     33     1125     33       OK
A2     T8      6     1325      0    SHORT
A3     T8     33     1575     33       OK
B      T8      6      500      0    SHORT
B1     T8     33      575     33       OK
C      T10     1     1600      0    SHORT
C1     T10     1     1750      1       OK
D      T16     3     1850      3       OK
D1     T16     2     1950      2       OK
E      T16     2     5850      2       OK
E1     T16     2     5850      2       OK
E2     T16     2     5850      0    SHORT
E3     T16     4     5850      0    SHORT
  -> 8 OK, 6 SHORT, 0 OVER (of 14 official rows)

=== PW-01-PW-01 ===
mark    dia  qty   len_mm  found   status
A      T8      6      782      0    SHORT
B      T8     17     1008     17       OK
C      T8     22     3017     16    SHORT
D      T8      6     3095      0    SHORT
D1     T8     14     3120      0    SHORT
D2     T10     4      334      4       OK
D3     T10     4      634      0    SHORT
D4     T10    20      716     20       OK
D5     T10    12      734     12       OK
E      T10    25     1004     25       OK
E1     T10    25     1039     25       OK
F      T10     2     1077      0    SHORT
F1     T10     2     1077      0    SHORT
F2     T10     1     1233      0    SHORT
F2     T10     1     1283      0    SHORT
F3     T10     6     1327      0    SHORT
G      T10     4     2480      3    SHORT
H      T12     4      723      1    SHORT
H1     T12     8      823      8       OK
  -> 7 OK, 12 SHORT, 0 OVER (of 19 official rows)

=== PW-GF-01 ===
mark    dia  qty   len_mm  found   status
A      T8     62     1175     62       OK
A1     T8     61     1250     39    SHORT
B      T8    122      900      3    SHORT
B1     T8     92      950      0    SHORT
C      T8      7      875      0    SHORT
D      T10     3     1425      0    SHORT
E      T12    15     9000     15       OK
E1     T12    14     9050      9    SHORT
F      T12    27     1300     27       OK
G      T16     4     9000      3    SHORT
H      T16     4     2675      0    SHORT
I      T20     3     1700      3       OK
J      T20     2     1575      2       OK
K      T20     3     2450      0    SHORT
L      T20     2     9750      2       OK
  -> 6 OK, 9 SHORT, 0 OVER (of 15 official rows)

=== PW-GF-02 ===
  (no itemized BBS table found -- summary-only)

=== PW-GF-06 ===
mark    dia  qty   len_mm  found   status
A      T8      5      775      2    SHORT
A1     T8      5      800      0    SHORT
A2     T8     31     1075      9    SHORT
A3     T8     31     1125     31       OK
A4     T8      8     4375      6    SHORT
A5     T8      9     5000      9       OK
A6     T8      8     5050      8       OK
B      T8     16      900     16       OK
B1     T8     68      900      3    SHORT
B2     T8     25      950      0    SHORT
C      T8      5     1075      0    SHORT
D      T8     38     1200      9    SHORT
E      T8     38      375     38       OK
F      T10     2     1125      0    SHORT
G      T12     2      825      2       OK
H      T16     4     5000      4       OK
I      T16     3     1750      3       OK
I1     T16     2     1850      0    SHORT
I2     T16     4     2300      0    SHORT
J      T20     1     1425      1       OK
K      T25     4     1850      4       OK
L      T10     5     1825      0    SHORT
M      T16     2     4375      2       OK
M1     T16     2     4375      0    SHORT
M2     T16     1     4375      0    SHORT
